task,init_source,cos_mean,cos_std,seed_agree,target_type,source_type,type_match
NoiseCleaner,PerceptualDM,0.986,0.005,3/3,angular,angular,True
DelayPro,NoiseCleaner+delay,0.952,0.007,2/3,angular,angular,True
DelayAnti,CtxIntMod2,0.804,0.035,1/3,angular,angular,True
CatPro,DelayPro,0.809,0.059,0/3,binary,angular,False
CatAnti,ConditionalReasoning,0.88,0.039,1/3,binary,binary,True
Match2Sample,DMSDistractor,0.858,0.057,2/3,binary,binary,True
NonMatch2Sample,ChangeDetect,0.855,0.064,2/3,binary,binary,True
CtxIntMod1,DelayPro,0.937,0.025,2/3,angular,angular,True
CtxIntMod2,NoiseCleaner+delay,0.897,0.027,1/3,angular,angular,True
CopyTask,AntiReach1D,0.676,0.031,0/3,copytask,scalar,False
GoNogo,NonMatch2Sample,0.709,0.042,0/3,binary,binary,True
PerceptualDM,NoiseCleaner,0.986,0.005,3/3,angular,angular,True
DelayedComparison,IntDisc,0.834,0.04,1/3,binary,binary,True
DurationPro,DurationAnti,0.789,0.042,1/3,binary,binary,True
DurationAnti,DurationPro,0.789,0.042,0/3,binary,binary,True
IntDisc,DelayPro,0.86,0.031,1/3,binary,angular,False
MultiSens,PerceptualDM+delay,0.964,0.001,3/3,angular,angular,True
FlipFlop2,FlipFlop3,0.997,0.0,3/3,flipflop,flipflop,True
FlipFlop3,FlipFlop2,0.997,0.0,3/3,flipflop,flipflop,True
SineGen,ConditionalReasoning,0.752,0.035,2/3,copytask,binary,False
Sternberg,Match2Sample,0.793,0.041,1/3,binary,binary,True
PairedAssoc,DelayPro,0.849,0.031,1/3,binary,angular,False
SpatialWMRetro,Numerosity,0.697,0.054,0/3,angular,scalar,False
ChangeDetect,NonMatch2Sample,0.855,0.064,2/3,binary,binary,True
RTGo,Simon,0.798,0.014,1/3,angular,binary,False
RTAnti,ConditionalReasoning,0.83,0.026,1/3,angular,binary,False
StopSignal,NoiseCleaner,0.814,0.026,0/3,binary,angular,False
AntiReach1D,SoundLocalization,0.963,0.019,3/3,scalar,scalar,True
Stroop,Flanker,0.901,0.024,0/3,binary,binary,True
Flanker,Simon,1.0,0.0,3/3,binary,binary,True
Simon,Flanker,1.0,0.0,3/3,binary,binary,True
AXCPT,Flanker+delay,0.9,0.015,0/3,binary,binary,True
TaskSwitch,Flanker,0.841,0.036,1/3,binary,binary,True
IntervalReproduction,OneTwoThreeGo,0.983,0.005,3/3,scalar,scalar,True
OneTwoThreeGo,IntervalReproduction,0.983,0.005,3/3,scalar,scalar,True
HeadDirection,NoiseCleaner+int,0.918,0.057,3/3,copytask,angular,False
PathIntegration1D,PathIntegration2D,0.992,0.002,3/3,scalar,vector,False
DMC,DNMC,0.851,0.049,2/3,binary,binary,True
DNMC,DMC,0.851,0.049,2/3,binary,binary,True
DMSDistractor,Match2Sample,0.858,0.057,2/3,binary,binary,True
HierReason,TaskSwitch+delay,0.757,0.037,1/3,binary,binary,True
Numerosity,NoiseCleaner,0.937,0.005,1/3,scalar,angular,False
PathIntegration2D,PathIntegration1D,0.992,0.002,3/3,vector,scalar,False
TemporalBisection,Numerosity,0.775,0.043,0/3,binary,scalar,False
VisualSearch,ChangeDetect,0.725,0.023,0/3,binary,binary,True
PosnerCueing,PerceptualDM,0.849,0.023,0/3,angular,angular,True
PoissonClicks,PluralityVote,0.828,0.015,1/3,binary,argmax,False
OddballDetection,GapDetection,0.774,0.041,2/3,binary,binary,True
SoundLocalization,AntiReach1D,0.963,0.019,3/3,scalar,scalar,True
MentalRotation,Sternberg,0.766,0.021,0/3,binary,binary,True
BackwardMasking,Simon,0.841,0.025,1/3,binary,binary,True
SignalDetection,TaskSwitch,0.801,0.017,0/3,binary,binary,True
SerialOrderMemory,DelayAnti,0.733,0.043,1/3,binary,angular,False
ConditionalReasoning,CatAnti,0.88,0.039,1/3,binary,binary,True
LexicalDecision,Flanker,0.844,0.009,2/3,binary,binary,True
AttentionalBlink,Simon,0.692,0.063,0/3,binary,binary,True
WMUpdating,Stroop,0.663,0.043,0/3,angular,binary,False
RelationalMatch,Simon+delay,0.735,0.06,0/3,binary,binary,True
ProspectiveMemory,TemporalOrderJudgment,0.863,0.039,0/3,binary,binary,True
TemporalOrderJudgment,ProspectiveMemory,0.863,0.039,1/3,binary,binary,True
MetacognitiveOptOut,SignalDetection,0.789,0.022,1/3,binary,binary,True
PriorIntegration,CtxIntMod2,0.876,0.034,2/3,angular,angular,True
SimultaneityJudgment,Simon+delay,0.863,0.016,0/3,binary,binary,True
GapDetection,CatAnti,0.798,0.067,1/3,binary,binary,True
PluralityVote,PoissonClicks,0.828,0.015,1/3,argmax,binary,False
OddOneOut,ConditionalReasoning,0.645,0.015,0/3,argmax,binary,False
GoNogo+delay,GoNogo,0.962,0.014,3/3,binary,binary,True
PerceptualDM+delay,NoiseCleaner+delay,0.991,0.003,3/3,angular,angular,True
CatPro+delay,CatPro,0.947,0.021,3/3,binary,binary,True
